ticker,date,adj_close,close,high,low,open,volume,prev_close_1,prev_close_2,prev_close_3,close_t_plus_1,close_t_plus_3,close_t_plus_7,daily_return,ma_5,sentiment
AAPL,20/10/2020,115.2717972,117.5100021,118.9800034,115.6299973,116.1999969,124423700,115.9800034,119.0199966,120.7099991,116.8700027,115.0400009,115.3199997,0.013191919,118.8820007,0.04255
AMZN,13/02/2020,107.4934998,107.4934998,108.5139999,107.0999985,107.2494965,60636000,108,107.5400009,106.6955032,106.7434998,108.5110016,98.63700104,-0.004689817,106.7386002,
TSLA,13/04/2020,43.39666748,43.39666748,43.46666718,38.70199966,39.34400177,337131000,38.20000076,36.58933258,36.36333466,47.32600021,49.68066788,48.8073349,0.136038393,37.79306717,0.09176
AAPL,30/09/2020,113.6042023,115.8099976,117.2600021,113.6200027,113.7900009,142675200,114.0899963,114.9599991,112.2799988,116.7900009,116.5,116.9700012,0.015075829,113.0719986,-0.096828571
NVDA,01/04/2020,60.56717682,60.76750183,65.38249969,60.31999969,63.91249847,65691200,65.90000153,66.39749908,63.18249893,63.86750031,67.09999847,67.46250153,-0.07788315,64.11149979,0
NVDA,23/09/2020,120.9291534,121.2375031,127.2699966,120.7925034,125.7549973,64701200,126.3775024,125.1725006,121.8925018,123.4800034,130.3500061,130.6224976,-0.040671791,123.863002,
TSLA,04/08/2020,99.1333313,99.1333313,101.8273315,97.46666718,99.66733551,126225000,99,95.38400269,99.16600037,99.00133514,96.84733582,108.0666656,0.001346781,98.52480011,0.115975
AAPL,23/01/2020,77.75102997,79.80750275,79.88999939,78.91249847,79.48000336,104472000,79.42500305,79.14250183,79.68250275,79.57749939,79.42250061,77.16500092,0.00481586,79.37350159,0.1589
NVDA,05/05/2020,73.19290924,73.43499756,75.06749725,72.82250214,73.86750031,36889600,72.82250214,70.69499969,73.06999969,74.44750214,78.125,80.30500031,0.008410799,72.92749939,0
TSLA,23/04/2020,47.04199982,47.04199982,48.93333435,46.87533188,48.50666809,198550500,48.8073349,45.78133392,49.75733185,48.3433342,51.27466583,50.74599838,-0.036169463,48.32946701,0
AAPL,12/03/2020,60.60187912,62.05749893,67.5,62,63.98500061,418474000,68.85749817,71.33499908,66.54250336,69.49250031,63.21500015,56.09249878,-0.098754666,68.20999985,0.120114286
AAPL,10/09/2020,111.3283768,113.4899979,120.5,112.5,120.3600006,182274400,117.3199997,112.8199997,120.9599991,112,115.5400009,110.0800018,-0.032645771,117.0939987,0.099442105
AMZN,07/02/2020,103.9639969,103.9639969,104.9264984,101.9049988,102.0995026,101906000,102.5114975,101.9934998,102.4834976,106.6955032,108,108.5110016,0.014169136,102.2324982,0
AMZN,22/07/2020,154.9954987,154.9954987,157.5,153.2630005,156.25,82084000,156.914505,159.8419952,148.0984955,149.3274994,152.760498,158.2339935,-0.01222963,153.9690979,0.9136
MSFT,10/03/2020,155.4921875,160.9199982,161.0299988,152.5800018,158.1600037,65354400,150.6199951,161.5700073,166.2700043,153.6300049,158.8300018,142.7100067,0.068384035,161.9860016,0.4215
NVDA,22/04/2020,71.30165863,71.53749847,71.96749878,68.84999847,69.30750275,48335600,67.37750244,71.76249695,73.08000183,71.00250244,74.26999664,70.69499969,0.061741618,71.48650055,
NVDA,25/06/2020,94.63031006,94.90000153,95.05000305,91.82250214,93.55750275,37607200,92.35500336,94.5,95.26750183,91.55000305,94.97750092,98.71749878,0.02755669,93.92700195,
NVDA,09/10/2020,137.2774506,137.6275024,138.2424927,136.6074982,137.6699982,34689200,138.3874969,139.6399994,137.3650055,142.2599945,140.9524994,136.4550018,-0.005491786,137.8890015,0
TSLA,06/07/2020,91.4386673,91.4386673,91.85266876,84.40266418,85.11266327,308548500,80.57733154,74.64199829,71.98733521,92.65733337,92.95200348,103.0673294,0.134793937,77.18706665,0.185775
